0.1,0.104713,0.102356,2.995623318070156e+18,1587680358577182,6.35608597086815e+20,3.368725564560119e+17,66031365347637.83
0.104713,0.109648,0.10718,4.085719059819539e+18,2206288292302551,8.279065977344566e+20,4.470695627766066e+17,93253285537419.23
0.109648,0.114815,0.112232,5.16961474645732e+18,3928907207307564,1.000506047311267e+21,7.603845959565628e+17,122724716157563
0.114815,0.120226,0.117521,5.977336819826104e+18,4243909142076534,1.10466398444393e+21,7.843114289551904e+17,148137514548439.4
0.120226,0.125893,0.123059,6.548723931919583e+18,4518619513024512,1.155589188621771e+21,7.97356540149022e+17,169937333842040
0.125893,0.131826,0.128859,6.911507771322032e+18,4907170517638643,1.164926305633244e+21,8.270976769996036e+17,188228106057322.8
0.131826,0.138038,0.134932,7.163101024254967e+18,5873742839889073,1.15310705477382e+21,9.455477849145326e+17,205083496664279.1
0.138038,0.144544,0.141291,7.259912759508216e+18,5735331080011491,1.115879612589641e+21,8.815448939458162e+17,218769809024027
0.144544,0.151356,0.14795,7.38867749746428e+18,5024300698275711,1.084656121177965e+21,7.375661624010161e+17,234509041977759.2
0.151356,0.158489,0.154923,7.411498976917619e+18,4817474334996452,1.0390437371257e+21,6.75378429131705e+17,247842374172408.2
0.158489,0.165959,0.162224,7.265101458112251e+18,4722315947772963,9.725704763202473e+20,6.321708096081606e+17,255965651485694.5
0.165959,0.17378,0.169869,7.081166489801422e+18,4956816542860995,9.054042308913728e+20,6.33782961623961e+17,262779634784713.9
0.17378,0.18197,0.177875,6.801944149669036e+18,6053730293205442,8.305182111928001e+20,7.391612079615921e+17,265734175538830.4
0.18197,0.190546,0.186258,6.418977152137333e+18,4750043092581626,7.484814776279539e+20,5.538762934446859e+17,263818796898909.2
0.190546,0.199526,0.195036,5.943361104108159e+18,4398087217040038,6.618442209474553e+20,4.897647235011169e+17,256763003346261.9
0.199526,0.20893,0.204228,5.407547357867767e+18,4163811465558180,5.750263034738164e+20,4.427702536748386e+17,245327505215785.2
0.20893,0.218776,0.213853,4.786574462222169e+18,3350602123555518,4.861440648204522e+20,3.403008453743165e+17,227803744629226.4
0.218776,0.229087,0.223931,4.225315572545041e+18,3168986679408781,4.097871760784633e+20,3.073403820588475e+17,210716716469463
0.229087,0.239883,0.234485,3.627090869649337e+18,3119298147898430,3.359661791079416e+20,2.889309140328298e+17,189319979446277.2
0.239883,0.251189,0.245536,3.01671523132215e+18,2383205032744499,2.668242730693574e+20,2.107911757247924e+17,164606109524789.4
0.251189,0.263027,0.257108,2.549483182167293e+18,1937607218447143,2.153643505801056e+20,1.636769064408803e+17,145245540415797
0.263027,0.275423,0.269225,2.115889729894526e+18,1375328324431442,1.706913302593201e+20,1.109493646685581e+17,125701461939135.7
